Defect ID,Detected Date,Module,Endpoint,Method,Test Case,Expected Behavior,Actual Behavior,Severity,Priority,Risk Type,Status,Owner,Sprint,Evidence
DEF-20260310-001,2026-03-10,Tenant Management,/tenants/non-existent-tenant-id-99999,GET,@security @negative should reject invalid tenant identifier lookup,API should return validation/access error (4xx) for invalid tenant id,API returns 500 Internal Server Error,High,P1,Availability / Error Handling,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-tenant.isolation--fd163-id-tenant-identifier-lookup/trace.zip
DEF-20260310-002,2026-03-10,Tenant Management,/tenants/cross-tenant-object-123,PATCH,@security @abuse should prevent cross-tenant object mutation attempts,API should reject unauthorized/cross-tenant mutation with 4xx,API returns 500 Internal Server Error,Critical,P0,Data Leakage / Authorization,Open,QE Security,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-tenant.isolation--af217-nt-object-mutation-attempts/trace.zip
DEF-20260310-003,2026-03-10,Tenant Management,/tenants,POST,@security @boundary should reject malformed tenant creation payload,API should validate payload and return 4xx,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-tenant.isolation--67c1f-med-tenant-creation-payload/trace.zip
DEF-20260310-004,2026-03-10,Devices & Assets,/devices,POST,@security @boundary should reject malformed device registration payload,API should reject malformed payload with 4xx,API accepted malformed payload and returned 200,Critical,P0,Input Validation / Data Integrity,Open,QE Security,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-devices.assets-De-dfed6-device-registration-payload/trace.zip
DEF-20260310-005,2026-03-10,Discovery & Scan,/discoveries,POST,@security @boundary should reject malformed discovery creation payload,API should validate malformed discovery payload and return 4xx,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-discovery.scan-Di-9d081--discovery-creation-payload/trace.zip
DEF-20260310-006,2026-03-10,Discovery & Scan,/discoveries/cross-tenant-discovery-123/toggle_scan_status,POST,@security @abuse should block unauthorized scan status toggle for invalid discovery id,API should reject invalid or cross-tenant scan status mutation with 4xx,API returned 200 and accepted request,Critical,P0,Authorization / BOLA-BFLA,Open,QE Security,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-discovery.scan-Di-51fc7-le-for-invalid-discovery-id/trace.zip
DEF-20260310-007,2026-03-10,Discovery & Scan,/discoveries/status,GET,@regression @chaos should keep discovery status endpoint stable under normal request,API should remain stable and return non-5xx response for status endpoint,API returns 500 Internal Server Error,High,P1,Availability / Reliability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-discovery.scan-Di-327e6-stable-under-normal-request/trace.zip
DEF-20260310-008,2026-03-10,Users & Roles,/users/non-existent-user-id-99999,GET,@security @negative should reject invalid user id lookup,API should return 4xx for unknown user id,API returns 200 for invalid user id,Critical,P0,Authorization / Object Access Control,Open,QE Security,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-users.roles-Users-752b6-ject-invalid-user-id-lookup/trace.zip
DEF-20260310-009,2026-03-10,Users & Roles,/users,POST,@security @boundary should reject malformed user payload on create,API should reject malformed user payload with 4xx,API returned 200 and accepted malformed user payload,Critical,P0,Input Validation / Data Integrity,Open,QE Security,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-users.roles-Users-3ce98-rmed-user-payload-on-create/trace.zip
DEF-20260310-010,2026-03-10,Users & Roles,/users,POST,@security @abuse should block privilege escalation attempt during user creation,API should reject unauthorized elevated role assignment with 4xx,API returned 200 for privilege escalation payload,Critical,P0,Privilege Escalation,Open,QE Security,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-users.roles-Users-7c780-ttempt-during-user-creation/trace.zip
