Module,Endpoint,Case ID,Type,Priority,Automation Status,Owner,Sprint,Scenario
Cross-Cutting,*,GEN-001,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-001 in module Cross-Cutting
Cross-Cutting,*,GEN-002,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-002 in module Cross-Cutting
Cross-Cutting,*,GEN-003,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-003 in module Cross-Cutting
Cross-Cutting,*,GEN-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-004 in module Cross-Cutting
Cross-Cutting,*,GEN-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-005 in module Cross-Cutting
Cross-Cutting,*,GEN-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-006 in module Cross-Cutting
Cross-Cutting,*,GEN-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-007 in module Cross-Cutting
Cross-Cutting,*,GEN-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-008 in module Cross-Cutting
Cross-Cutting,*,GEN-009,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-009 in module Cross-Cutting
Cross-Cutting,*,GEN-010,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-010 in module Cross-Cutting
Cross-Cutting,*,GEN-011,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-011 in module Cross-Cutting
Cross-Cutting,*,GEN-012,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-012 in module Cross-Cutting
Cross-Cutting,*,GEN-013,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-013 in module Cross-Cutting
Cross-Cutting,*,GEN-014,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-014 in module Cross-Cutting
Cross-Cutting,*,GEN-015,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-015 in module Cross-Cutting
Cross-Cutting,*,GEN-016,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-016 in module Cross-Cutting
Cross-Cutting,*,GEN-017,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-017 in module Cross-Cutting
Cross-Cutting,*,GEN-018,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-018 in module Cross-Cutting
Cross-Cutting,*,GEN-019,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-019 in module Cross-Cutting
Cross-Cutting,*,GEN-020,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-020 in module Cross-Cutting
Cross-Cutting,*,GEN-021,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-021 in module Cross-Cutting
Cross-Cutting,*,GEN-022,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-022 in module Cross-Cutting
Cross-Cutting,*,GEN-023,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-023 in module Cross-Cutting
Cross-Cutting,*,GEN-024,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-024 in module Cross-Cutting
Cross-Cutting,*,GEN-025,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-025 in module Cross-Cutting
Cross-Cutting,*,GEN-026,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-026 in module Cross-Cutting
Cross-Cutting,*,GEN-027,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-027 in module Cross-Cutting
Cross-Cutting,*,GEN-028,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-028 in module Cross-Cutting
Cross-Cutting,*,GEN-029,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-029 in module Cross-Cutting
Cross-Cutting,*,GEN-030,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-030 in module Cross-Cutting
Authentication,POST /api/users/sign_in,AUTH-001,Positive,P0,Automated,QE API Team,Sprint-0,Valid login returns success and user payload
Authentication,POST /api/users/sign_in,AUTH-002,Negative,P0,Automated,QE API Team,Sprint-0,Invalid password returns failure message
Authentication,POST /api/users/sign_in,AUTH-003,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-003 in module Authentication
