Case ID,Module,Method,Endpoint,Aspect,Target Suite,Tag(s),Automation Candidate,Test Level,Scenario,Description,Test Steps,Expected HTTP Status Code,Response Schema/Contract,Expected Latency (ms),Mocking Required?,Data Strategy,Preconditions,Reusable Components,Dependencies,CI Gate,Contract Reference,Risk Level,Risk Type,Priority,Automation Status,Automation Owner,Planned Sprint,Last Run Date,Notes,Latest Run Result
API-0001,Authentication,POST,/api/sign_in,Positive,tests/smoke + tests/security,@positive @authentication,Yes,Integration,POST /api/sign_in: Login flow positive validation,"Validate successful authentication returns token/session artifacts, user context, and audit-safe response payload.","1) Prepare positive dataset for POST /api/sign_in, including role and tenant context. 2) Send login request with credential variant for this case. 3) Validate token/session behavior, user object fields, and auth error contract. 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 201,Swagger/OpenAPI reference TBD,<= 1000,No,"Base URL=http://127.0.0.1:3000; Endpoint=/api/sign_in; Body={""user"":{""email"":""<VALID_EMAIL>"",""password"":""<VALID_PASSWORD>""}}; Body payloads generated via factory + invalid mutators",Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + session/auth middleware,PR + Nightly,Swagger/OpenAPI reference TBD,High,Unauthorized Access,P0,Passed,QE API Team,Sprint-1,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0002,Authentication,POST,/api/sign_in,Negative,tests/smoke + tests/security,@negative @authentication,Yes,Integration,POST /api/sign_in: Login flow negative validation,"Validate invalid credentials, missing fields, and malformed payloads are rejected without sensitive data leakage.","1) Prepare negative dataset for POST /api/sign_in, including role and tenant context. 2) Send login request with credential variant for this case. 3) Validate token/session behavior, user object fields, and auth error contract. 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 (business failure) or 401/403,Swagger/OpenAPI reference TBD,<= 1000,No,"Base URL=http://127.0.0.1:3000; Endpoint=/api/sign_in; Body={""user"":{""email"":""invalid.user@redinent.local"",""password"":""WrongPass@123""}}; Body payloads generated via factory + invalid mutators",Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + session/auth middleware,PR + Nightly,Swagger/OpenAPI reference TBD,High,Unauthorized Access,P0,Passed,QE API Team,Sprint-1,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0003,Authentication,POST,/api/sign_in,Edge,tests/smoke + tests/security,@edge @authentication,Yes,Integration,POST /api/sign_in: Login flow edge validation,"Validate POST /api/sign_in for edge coverage using Edge Case Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare edge dataset for POST /api/sign_in, including role and tenant context. 2) Send login request with credential variant for this case. 3) Validate token/session behavior, user object fields, and auth error contract. 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/sign_in; Data set=Edge; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + session/auth middleware,PR + Nightly,Swagger/OpenAPI reference TBD,High,Unauthorized Access,P0,Pending,QE API Team,Sprint-1,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0004,Authentication,POST,/api/sign_in,Boundary,tests/smoke + tests/security,@boundary @authentication,Yes,Integration,POST /api/sign_in: Login flow boundary validation,"Validate POST /api/sign_in for boundary coverage using Boundary Value Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare boundary dataset for POST /api/sign_in, including role and tenant context. 2) Send login request with credential variant for this case. 3) Validate token/session behavior, user object fields, and auth error contract. 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/sign_in; Body email/password boundary lengths; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + session/auth middleware,PR + Nightly,Swagger/OpenAPI reference TBD,High,Unauthorized Access,P0,Passed,QE API Team,Sprint-1,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0005,Authentication,POST,/api/sign_in,Equivalence,tests/smoke + tests/security,@equivalence @authentication,Yes,Integration,POST /api/sign_in: Login flow equivalence validation,"Validate POST /api/sign_in for equivalence coverage using Equivalence Class Partitioning, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare equivalence dataset for POST /api/sign_in, including role and tenant context. 2) Send login request with credential variant for this case. 3) Validate token/session behavior, user object fields, and auth error contract. 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 201,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/sign_in; Data set=Equivalence; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + session/auth middleware,PR + Nightly,Swagger/OpenAPI reference TBD,High,Unauthorized Access,P0,Pending,QE API Team,Sprint-1,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0006,Authentication,POST,/api/sign_in,Abuse,tests/smoke + tests/security,@abuse @authentication,Yes,Integration,POST /api/sign_in: Login flow abuse validation,Validate brute-force and injection-like login abuse attempts are blocked and observable.,"1) Prepare abuse dataset for POST /api/sign_in, including role and tenant context. 2) Send login request with credential variant for this case. 3) Validate token/session behavior, user object fields, and auth error contract. 4) Capture correlation-id, logs/traces, and attach request/response evidence.",400/401/403/429,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/sign_in; Burst login attempts + credential stuffing dataset; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + session/auth middleware,PR + Nightly,Swagger/OpenAPI reference TBD,High,Data Leakage / Unauthorized Access,P0,Passed,QE API Team,Sprint-1,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0007,Authentication,POST,/api/sign_in,Chaos,tests/smoke + tests/security,@chaos @authentication,Yes,Integration,POST /api/sign_in: Login flow chaos validation,"Validate POST /api/sign_in for chaos coverage using Chaos/Resilience Testing, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare chaos dataset for POST /api/sign_in, including role and tenant context. 2) Send login request with credential variant for this case. 3) Validate token/session behavior, user object fields, and auth error contract. 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 with graceful degradation or 5xx handled with retry/error contract,Swagger/OpenAPI reference TBD,<= 1500,Yes,Base URL=http://127.0.0.1:3000; Endpoint=/api/sign_in; Data set=Chaos; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + session/auth middleware,PR + Nightly,Swagger/OpenAPI reference TBD,High,Availability / Reliability,P0,Pending,QE API Team,Sprint-1,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0008,Other,PATCH,/api/users/password,Positive,tests/integration + tests/regression,@positive @other,Yes,Component + Integration,PATCH /api/users/password: API behavior positive validation,"Validate PATCH /api/users/password for positive coverage using Equivalence Partitioning (valid partition), ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare positive dataset for PATCH /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Positive; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Failed,QE API Team,Sprint-2,2026-03-10,See docs/defect-sheet.csv for linked defect(s),FAIL
API-0009,Other,PATCH,/api/users/password,Negative,tests/integration + tests/regression,@negative @other,Yes,Component + Integration,PATCH /api/users/password: API behavior negative validation,"Validate PATCH /api/users/password for negative coverage using Equivalence Partitioning (invalid partition), ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare negative dataset for PATCH /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",400/401/403/404 (as per contract),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Negative; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Passed,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0010,Other,PATCH,/api/users/password,Edge,tests/integration + tests/regression,@edge @other,Yes,Component + Integration,PATCH /api/users/password: API behavior edge validation,"Validate PATCH /api/users/password for edge coverage using Edge Case Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare edge dataset for PATCH /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Edge; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
